season,yr,mnth,holiday,workingday,weathersit,temp,hum,windspeed,cnt,pred_cnt
1,0,1,0,1,1,0.196364,0.437273,0.248309,1349,1489.112982
1,0,1,0,1,1,0.226957,0.436957,0.1869,1600,1661.65227
1,0,1,0,0,1,0.138333,0.434167,0.36195,822,1266.173184
1,0,1,0,1,1,0.172727,0.599545,0.304627,1162,1438.161831
1,0,1,0,1,1,0.16087,0.537826,0.126548,1421,1431.498133
1,0,1,0,0,2,0.233333,0.49875,0.157963,1248,1368.769923
1,0,1,0,1,1,0.1775,0.457083,0.353242,1543,1457.238126
1,0,1,0,0,1,0.196522,0.651739,0.145365,1098,1224.432599
1,0,2,0,1,2,0.134783,0.494783,0.188839,1605,1543.508098
1,0,2,0,1,1,0.266087,0.314348,0.291374,1815,1937.619347
1,0,2,0,0,1,0.343478,0.68,0.125248,2402,1867.428356
1,0,3,0,1,2,0.261667,0.610417,0.203346,1944,1942.740583
1,0,3,0,1,2,0.295833,0.775417,0.22015,1891,1892.907991
1,0,3,0,1,2,0.317391,0.655652,0.184309,2056,1958.938811
1,0,3,0,1,1,0.415,0.602917,0.209579,2744,2592.890479
1,0,3,0,1,1,0.54,0.525217,0.231017,3239,3557.258776
2,0,3,0,1,1,0.3025,0.314167,0.226996,2425,2412.404632
2,0,3,0,1,3,0.268333,0.918333,0.217646,1685,1700.968592
2,0,4,0,0,2,0.3425,0.8775,0.133083,2455,2360.45122
2,0,4,0,1,2,0.505833,0.665833,0.157971,3204,3604.428417
2,0,4,0,0,2,0.581667,0.810833,0.192175,4191,3804.139039
2,0,4,0,1,2,0.62,0.835417,0.3122,3872,3487.30463
2,0,4,0,1,1,0.51,0.457083,0.240063,4595,4260.27742
2,0,5,0,1,2,0.414167,0.737083,0.328996,2633,3075.256564
2,0,5,0,1,1,0.536667,0.719583,0.125013,4917,4500.902094
2,0,5,0,1,2,0.631667,0.81,0.233842,4274,4149.540309
2,0,5,0,1,2,0.66,0.740833,0.207092,4492,4261.339442
2,0,6,0,0,1,0.635,0.45625,0.123142,5342,5198.390022
2,0,6,0,0,1,0.6925,0.747917,0.163567,4460,4891.576283
2,0,6,0,0,1,0.696667,0.670417,0.119408,5119,4947.104468
2,0,6,0,0,2,0.699167,0.666667,0.102,4744,4693.280154
2,0,6,0,1,2,0.635,0.74625,0.155475,4010,4453.970466
3,0,6,0,1,2,0.728333,0.703333,0.238804,4790,4188.69068
3,0,7,1,0,2,0.726667,0.637917,0.0814792,6043,4649.618382
3,0,7,0,1,1,0.72,0.743333,0.149883,4629,4682.667789
3,0,7,0,1,1,0.768333,0.707083,0.113817,4332,4380.801633
3,0,7,0,1,1,0.848333,0.580417,0.1331,3387,4282.273141
3,0,7,0,0,1,0.849167,0.5,0.131221,3285,4384.115733
3,0,7,0,1,1,0.779167,0.583333,0.178479,4390,4545.344096
3,0,8,0,0,2,0.716667,0.755,0.22825,4294,4189.327998
3,0,8,0,1,1,0.765,0.592083,0.192175,4326,4606.798594
3,0,8,0,1,1,0.766667,0.424167,0.200258,4780,4709.320084
3,0,8,0,1,1,0.708333,0.415,0.125621,4905,5110.931247
3,0,8,0,1,2,0.685,0.722917,0.139308,4153,4336.444488
3,0,8,0,0,1,0.710833,0.77,0.248754,3873,4459.836909
3,0,8,0,1,1,0.691667,0.47,0.27675,4758,4971.355384
3,0,8,0,0,2,0.68,0.85,0.375617,1115,3882.050361
3,0,8,0,0,1,0.707059,0.561765,0.304659,4334,4908.669296
